Location ID,Name,Rating,No of reviews,Default URL,Image URL,Description
12714552,Pizzeria Arrivederci,5.0,3961,https://www.tripadvisor.com/Restaurant_Review-g187147-d12714552-Reviews-Pizzeria_Arrivederci-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/55/7e/b3/la-poesia-a-tavola.jpg?w={width}&h={height}&s=1,Smart pizza place in 5arrondisement. Here you can taste real Italian pizza with all fresh productos... Just taste it and you travel to Italy!!!
4451589,New Jawad Longchamp,5.0,3840,https://www.tripadvisor.com/Restaurant_Review-g187147-d4451589-Reviews-New_Jawad_Longchamp-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/7c/b0/43/new-jawad-longchamp-finesse.jpg?w={width}&h={height}&s=1,
718750,Tour d'Argent,4.5,2932,https://www.tripadvisor.com/Restaurant_Review-g187147-d718750-Reviews-Tour_d_Argent-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/cf/fa/71/la-vue-sur-notre-dame.jpg?w={width}&h={height}&s=1,
719052,Epicure,5.0,2964,https://www.tripadvisor.com/Restaurant_Review-g187147-d719052-Reviews-Epicure-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/a7/3f/74/epicure-le-bristol-paris.jpg?w={width}&h={height}&s=1,
6575305,Il Etait Un Square,5.0,4406,https://www.tripadvisor.com/Restaurant_Review-g187147-d6575305-Reviews-Il_Etait_Un_Square-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/25/08/0a/le-cheddar.jpg?w={width}&h={height}&s=1,
858456,Aux Anysetiers Du Roy Restaurant,4.5,553,https://www.tripadvisor.com/Restaurant_Review-g187147-d858456-Reviews-Aux_Anysetiers_Du_Roy_Restaurant-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/95/09/ab/salle-principale-du-restaurant.jpg?w={width}&h={height}&s=1,Authentic french restaurant in a 17th Century building on the lovely Saint-Louis island. Discover our generous cuisine inside our historical restaurant or outside on our calm and nice terrasse.
718664,La Fontaine de Mars,4.5,2344,https://www.tripadvisor.com/Restaurant_Review-g187147-d718664-Reviews-La_Fontaine_de_Mars-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/f1/f5/6a/photo1jpg.jpg?w={width}&h={height}&s=1,
719229,Le Procope,4.0,5859,https://www.tripadvisor.com/Restaurant_Review-g187147-d719229-Reviews-Le_Procope-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/5f/4b/9e/terrasse.jpg?w={width}&h={height}&s=1,
9806534,Aspic,5.0,1289,https://www.tripadvisor.com/Restaurant_Review-g187147-d9806534-Reviews-Aspic-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/d7/5c/7f/restaurant-aspic-quentin.jpg?w={width}&h={height}&s=1,"ASPIC is a small-scale gastronomic restaurant. With a limited number of tables, our dishes are served by the chefs who prepare them, allowing for a more personal and informative dining experience. We prioritize seasonal products, local sourcing, and wines from independent winemakers. We offer a unique tasting menu with no choice, ensuring the freshness of our offerings and prioritizing the culinary experience. ASPIC provides a cuisine that connects people: from the producers and chefs to the diners."
2042295,L'Ange 20 Restaurant,4.5,2741,https://www.tripadvisor.com/Restaurant_Review-g187147-d2042295-Reviews-L_Ange_20_Restaurant-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/e3/76/71/l-ange-20.jpg?w={width}&h={height}&s=1,"Typical French bistro located in the hart of Marais just a few foot steeps away from the ""Place des Vosges"" and Saint Paul Church. From the small intimate and cozy dining room you can see everything that happens in the kitchen. Thierry the owner and his team will pay special attention that you feel at home. Here one does not hesitate to speak directly to the kitchen! The dishes are simple and tasty. All made from fresh products cooked like at home The wine list offers a wide selection of French wines, selected with care. You 'll find your happiness at reasonable price."
719540,Les Papilles,4.5,2345,https://www.tripadvisor.com/Restaurant_Review-g187147-d719540-Reviews-Les_Papilles-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/01/cd/ab/f2/les-papilles.jpg?w={width}&h={height}&s=1,
718147,L'Avenue,3.5,2542,https://www.tripadvisor.com/Restaurant_Review-g187147-d718147-Reviews-L_Avenue-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/e8/de/61/photo0jpg.jpg?w={width}&h={height}&s=1,
1035630,Le Colimaçon,4.5,1139,https://www.tripadvisor.com/Restaurant_Review-g187147-d1035630-Reviews-Le_Colimacon-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/24/65/5a/filet-de-beouf-facon.jpg?w={width}&h={height}&s=1,
801369,Hugo,4.5,1151,https://www.tripadvisor.com/Restaurant_Review-g187147-d801369-Reviews-Hugo-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/ce/6a/45/salle.jpg?w={width}&h={height}&s=1,
719130,Le Grand Colbert,4.0,2881,https://www.tripadvisor.com/Restaurant_Review-g187147-d719130-Reviews-Le_Grand_Colbert-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/98/43/f1/le-grand-colbert.jpg?w={width}&h={height}&s=1,"Dear customers, All the Grand Colbert team wishes you a pleasant summer holiday, our house closes its doors for a few weeks and the whole team will be back for your greatest pleasure on FRIDAY, September 11th from 6:00 pm ... Take care of yourself, The Grand Colbert team"
719160,Restaurant Le Meurice Alain Ducasse,4.5,1037,https://www.tripadvisor.com/Restaurant_Review-g187147-d719160-Reviews-Restaurant_Le_Meurice_Alain_Ducasse-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/8e/d4/66/le-meurice-alain-ducasse.jpg?w={width}&h={height}&s=1,
1035274,Les Antiquaires,4.5,2106,https://www.tripadvisor.com/Restaurant_Review-g187147-d1035274-Reviews-Les_Antiquaires-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/6d/c7/60/bar.jpg?w={width}&h={height}&s=1,
719202,Le Petit Chatelet,4.5,1987,https://www.tripadvisor.com/Restaurant_Review-g187147-d719202-Reviews-Le_Petit_Chatelet-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/2a/64/9d/photo4jpg.jpg?w={width}&h={height}&s=1,
15042418,Pastamore,5.0,2676,https://www.tripadvisor.com/Restaurant_Review-g187147-d15042418-Reviews-Pastamore-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/62/11/09/spaghetti-pastamore.jpg?w={width}&h={height}&s=1,
6633751,Sacrée fleur,4.5,3779,https://www.tripadvisor.com/Restaurant_Review-g187147-d6633751-Reviews-Sacree_fleur-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/b4/b7/04/photo0jpg.jpg?w={width}&h={height}&s=1,"Sacree fleur (ex Marguerite) is a traditional french cuisine restaurant, located just closed to Sacre Coeur in Montmartre. Speciality : the beef
Everything is homemade. We use fresh products"
850239,La Coupole,3.5,5744,https://www.tripadvisor.com/Restaurant_Review-g187147-d850239-Reviews-La_Coupole-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/61/4a/52/la-coupole.jpg?w={width}&h={height}&s=1,
719141,Le Jules Verne,4.0,1007,https://www.tripadvisor.com/Restaurant_Review-g187147-d719141-Reviews-Le_Jules_Verne-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/6b/31/72/vue-de-la-salle-quai.jpg?w={width}&h={height}&s=1,
719048,Bistrot Paul Bert,4.0,1360,https://www.tripadvisor.com/Restaurant_Review-g187147-d719048-Reviews-Bistrot_Paul_Bert-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/06/a5/38/photo8jpg.jpg?w={width}&h={height}&s=1,
15283501,L'Oliveto,4.5,1665,https://www.tripadvisor.com/Restaurant_Review-g187147-d15283501-Reviews-L_Oliveto-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/34/72/1e/surprise-du-chef.jpg?w={width}&h={height}&s=1,"Open the door and be greeted by Gandolfo, to L'Oliveto, and discover the best of fine Italian dining in Saint Germain des Prés, 38 rue de Buci,in the 6th district in Paris. Come and taste the authentic taste of Southern Italian dishes, prepared daily with fresh ingredients where you can taste the sunshine in the food, lovingly cooked by our Chef , passionately bring you the taste of the finest home cooking. Reservation recommended by phone or website Loliveto-paris.fr . Air conditioning !"
1480526,Frenchie - Rue du Nil,4.5,1383,https://www.tripadvisor.com/Restaurant_Review-g187147-d1480526-Reviews-Frenchie_Rue_du_Nil-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/68/8b/57/frenchie.jpg?w={width}&h={height}&s=1,
695097,Au Bourguignon Du Marais,4.5,1442,https://www.tripadvisor.com/Restaurant_Review-g187147-d695097-Reviews-Au_Bourguignon_Du_Marais-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/71/bb/f3/au-bourguignon-du-marais.jpg?w={width}&h={height}&s=1,"Close Saint Louis Island, the Restaurant Au Bourguignon du Marais specialized in recipes from Burgundy, including its mus having Bœuf Bourguignon, as well as its 100% Burgundy wines, available by the glass or by the bottle."
718648,La Cordonnerie,4.5,748,https://www.tripadvisor.com/Restaurant_Review-g187147-d718648-Reviews-La_Cordonnerie-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/c5/ed/7c/la-cordonnerie.jpg?w={width}&h={height}&s=1,
2710981,Semilla,4.5,1269,https://www.tripadvisor.com/Restaurant_Review-g187147-d2710981-Reviews-Semilla-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/41/39/0a/semilla.jpg?w={width}&h={height}&s=1,
719177,Le P'tit Troquet,4.5,1123,https://www.tripadvisor.com/Restaurant_Review-g187147-d719177-Reviews-Le_P_tit_Troquet-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/80/8a/01/filename-img-0619-jpg.jpg?w={width}&h={height}&s=1,
1057786,Chez Germaine,4.5,309,https://www.tripadvisor.com/Restaurant_Review-g187147-d1057786-Reviews-Chez_Germaine-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/8a/b5/35/la-marmite-de-veau-sauce.jpg?w={width}&h={height}&s=1,
2154313,Le Sâotico,4.5,1222,https://www.tripadvisor.com/Restaurant_Review-g187147-d2154313-Reviews-Le_Saotico-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/e3/de/be/le-saotico.jpg?w={width}&h={height}&s=1,
719207,Le Petit Marché,4.5,1296,https://www.tripadvisor.com/Restaurant_Review-g187147-d719207-Reviews-Le_Petit_Marche-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/d3/a3/85/le-petit-marche.jpg?w={width}&h={height}&s=1,
813472,Au Bougnat,4.5,1328,https://www.tripadvisor.com/Restaurant_Review-g187147-d813472-Reviews-Au_Bougnat-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/9a/be/fc/au-bougnat.jpg?w={width}&h={height}&s=1,"Located on the Ile de la Cite Le Bougnat where freshness and authenticity reign supreme. Confortably settled in cozy wooden you can enjoy traditional French food fare discounts to date.Roasted duckling fillet lacquered with balsamic vinegar and crushed potatoes with chives, marinated tiger prawns with creamy risotto but also roated loin of lamb with sauteed seasonal vegetables and not forgetting the house creme brulee and dark chocolate praline cake.....It will be difficult to make the choice ...And not forgetting our wine lists to accompany you during your meal."
781447,A la Biche au Bois,4.5,1127,https://www.tripadvisor.com/Restaurant_Review-g187147-d781447-Reviews-A_la_Biche_au_Bois-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/e4/75/a1/choux-farcis-coulis-de.jpg?w={width}&h={height}&s=1,
1035629,Sorza,4.5,915,https://www.tripadvisor.com/Restaurant_Review-g187147-d1035629-Reviews-Sorza-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/58/4e/d6/sorza.jpg?w={width}&h={height}&s=1,"Sorza is in the heart of Ile Saint Louis in Paris not far from Notre Dame. This Mediterranean restaurant is of extremely chic and of exquisite taste. Unlike many French restaurants, this restaurant never stops serving; lunch can stretch throughout the afternoon until it is time for that pre dinner drink. At the weekends brunch is also available. The restaurant plays music throughout the day changing the genre as the day moves on, jazz in the morning and afternoon and lounge music in the evening. The d��cor is contemporary and eye catching with black lacquered tables, red walls, candles in little crystal glasses and subtle lighting."
10377077,Loulou Restaurant Paris,4.0,1147,https://www.tripadvisor.com/Restaurant_Review-g187147-d10377077-Reviews-Loulou_Restaurant_Paris-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/bf/02/8c/salle-de-restaurant.jpg?w={width}&h={height}&s=1,
699456,Le Cinq,4.5,2297,https://www.tripadvisor.com/Restaurant_Review-g187147-d699456-Reviews-Le_Cinq-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/4b/32/2a/restaurant-le-cinq.jpg?w={width}&h={height}&s=1,
719117,Le Florimond,4.5,1195,https://www.tripadvisor.com/Restaurant_Review-g187147-d719117-Reviews-Le_Florimond-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/99/ee/33/facade-du-florimond.jpg?w={width}&h={height}&s=1,
14997681,Girafe,3.5,817,https://www.tripadvisor.com/Restaurant_Review-g187147-d14997681-Reviews-Girafe-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/d1/bc/e4/girafe.jpg?w={width}&h={height}&s=1,
7108801,Joyti Restaurant,4.5,652,https://www.tripadvisor.com/Restaurant_Review-g187147-d7108801-Reviews-Joyti_Restaurant-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/bf/f6/2d/ta-img-20160829-160900.jpg?w={width}&h={height}&s=1,"Traditional indian home made kitchen since 1994. One of Best indian restaurant in Paris specialy for tandoori, cheese nans, butter chicken and all traditional indian recipes. Our dream is to serve best traditional indian food and give the taste of indian culture and love to parisians, Apart from that Our cook is experienced for traditional indian dishes. so we can ensure you the best taste of indian rasoi because it is our mission. We are very special for Tandoori. We are established & serving Indian cuisine in heart of Paris from last 25 years. Our Joyti Restaurant is very close to major tourist attractions like Montparnasse Tower, Eiffel Tower, Louvre Museum. The restaurant is right on Main Street where parking for tourist buses is easy. Our beautiful restaurant is having 65+ seats to provide quick table service (not the buffet) to the customers so they can continue their meals without waiting."
720163,Ze Kitchen Galerie,4.5,2220,https://www.tripadvisor.com/Restaurant_Review-g187147-d720163-Reviews-Ze_Kitchen_Galerie-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/9a/88/68/credit-photo-louis-laurent.jpg?w={width}&h={height}&s=1,
15147797,Hebe,4.5,1385,https://www.tripadvisor.com/Restaurant_Review-g187147-d15147797-Reviews-Hebe-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/16/8e/af/nouveau-menu.jpg?w={width}&h={height}&s=1,
1830224,La Maison De Verlaine,4.5,1397,https://www.tripadvisor.com/Restaurant_Review-g187147-d1830224-Reviews-La_Maison_De_Verlaine-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/6c/79/b1/photo0jpg.jpg?w={width}&h={height}&s=1,"Traditionnal french restaurant held by a french family for 30 years now... in an historical place (where the poet Paul Verlaine died 10 1896... and where Ernest Hemingway wrote his book ""A movable feast"""
715011,Cinq-Mars,4.5,598,https://www.tripadvisor.com/Restaurant_Review-g187147-d715011-Reviews-Cinq_Mars-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/00/69/e3/photo0jpg.jpg?w={width}&h={height}&s=1,"Near the bar or further from, the hours, the atmosphere plays the tower discrete turn, then animated finally released, with a few musical notes to accompany you. Eye to eye with the card and you see at once that she made in sincerity, tradition requires simplicity and quality ingredients are doses- -2 precisely kitchen non-hidden secrets which is available. Also count on a continuous smile to serve you and the feeling will likely become convinced that the restaurant Cinq-Mars has it all."
1335980,Les Bougresses,4.5,952,https://www.tripadvisor.com/Restaurant_Review-g187147-d1335980-Reviews-Les_Bougresses-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/b1/6b/f9/photo4jpg.jpg?w={width}&h={height}&s=1,
2707651,La Bonne Excuse,4.5,788,https://www.tripadvisor.com/Restaurant_Review-g187147-d2707651-Reviews-La_Bonne_Excuse-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/f3/f2/13/restaurant-interior.jpg?w={width}&h={height}&s=1,New Restaurant
7088641,Le Louis,4.5,1093,https://www.tripadvisor.com/Restaurant_Review-g187147-d7088641-Reviews-Le_Louis-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/69/fd/1a/la-salle.jpg?w={width}&h={height}&s=1,
10514254,Les Apotres de Pigalle,5.0,2760,https://www.tripadvisor.com/Restaurant_Review-g187147-d10514254-Reviews-Les_Apotres_de_Pigalle-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/d9/f3/76/photo0jpg.jpg?w={width}&h={height}&s=1,"Eat, Drink, Share... That's Les Apôtres de Pigalle. Short Menu of dishes to share, made out of daily-cooked ingredients Selection of quality wines Vibrant atmosphere Roland, Thibault & Gautier are looking forward to receive you ;)"
6975406,L'Oiseau Blanc Restaurant,4.5,1187,https://www.tripadvisor.com/Restaurant_Review-g187147-d6975406-Reviews-L_Oiseau_Blanc_Restaurant-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/de/96/40/salle.jpg?w={width}&h={height}&s=1,"In a unique setting on Paris’ rooftops, L'Oiseau Blanc team offers a new menu served exclusively for lunch: ""La Table de L’Oiseau Blanc"". Available in two or three courses and imagined as a gastronomic stopover, this menu reflects the entire philosophy of Chef David Bizet: naturality, regularity and authenticity. At dinner, guests rediscover L’Oiseau Blanc and set off on a gastronomic journey to discover Chef Bizet’s signature dishes. Served in 6 stops, this gourmet menu unveils exceptional products - including some from the Chef's garden - enhanced by daring combinations of flavors. Chef David Bizet uses his talent to bring emotions to his guests like nowhere else, counting on the expertise of his team in the kitchen and in the dining room. Facing the Eiffel Tower, the experience promises to be unforgettable."
14788731,Domenico's,5.0,968,https://www.tripadvisor.com/Restaurant_Review-g187147-d14788731-Reviews-Domenico_s-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/07/a0/1a/domenico-s.jpg?w={width}&h={height}&s=1,
718693,La Maison du Jardin,4.5,671,https://www.tripadvisor.com/Restaurant_Review-g187147-d718693-Reviews-La_Maison_du_Jardin-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/ac/2f/10/tartare-de-saumon-et.jpg?w={width}&h={height}&s=1,
714983,Chez Marcel,4.5,959,https://www.tripadvisor.com/Restaurant_Review-g187147-d714983-Reviews-Chez_Marcel-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/02/e7/89/e1/chez-marcel.jpg?w={width}&h={height}&s=1,
4520110,Chez Fernand,4.5,1149,https://www.tripadvisor.com/Restaurant_Review-g187147-d4520110-Reviews-Chez_Fernand-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/03/ab/ba/plat.jpg?w={width}&h={height}&s=1,
715085,Fish La Boissonnerie,4.5,1142,https://www.tripadvisor.com/Restaurant_Review-g187147-d715085-Reviews-Fish_La_Boissonnerie-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/77/42/d6/fish-la-boissonnerie.jpg?w={width}&h={height}&s=1,
719036,Le Bistrot d'Henri,4.5,983,https://www.tripadvisor.com/Restaurant_Review-g187147-d719036-Reviews-Le_Bistrot_d_Henri-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/93/29/d6/le-bistrot-d-henri.jpg?w={width}&h={height}&s=1,
796575,Ciel de Paris,4.0,4371,https://www.tripadvisor.com/Restaurant_Review-g187147-d796575-Reviews-Ciel_de_Paris-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/02/d1/d7/fb/restaurant-le-ciel-de.jpg?w={width}&h={height}&s=1,
6115029,Restaurant David Toutain,4.5,835,https://www.tripadvisor.com/Restaurant_Review-g187147-d6115029-Reviews-Restaurant_David_Toutain-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/59/0c/90/restaurant-david-toutain.jpg?w={width}&h={height}&s=1,
12182791,Restaurant La Pie Noir,4.5,578,https://www.tripadvisor.com/Restaurant_Review-g187147-d12182791-Reviews-Restaurant_La_Pie_Noir-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/7a/08/cf/side-view-from-the-street.jpg?w={width}&h={height}&s=1,
10041740,Le Vent d'Armor,5.0,455,https://www.tripadvisor.com/Restaurant_Review-g187147-d10041740-Reviews-Le_Vent_d_Armor-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/39/29/88/la-salle.jpg?w={width}&h={height}&s=1,
5810582,Le Petit Medicis,4.5,759,https://www.tripadvisor.com/Restaurant_Review-g187147-d5810582-Reviews-Le_Petit_Medicis-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/59/96/42/terrasse-du-petit-medicis.jpg?w={width}&h={height}&s=1,"Ludivine and David and their team take the greatest care in choosing the products offered on the menu. From Rungis to the heart of the French regions, the couple rely on selective supply chains that meet their requirements in terms of quality, taste and traceability. Fresh products and ""Homemade"" particularly embody this search for excellence. Uncompromising on the quality of its menu, the Petit Médicis team is just as much about its welcome. Drawing on their experience after having run three establishments previously, for Ludivine and David Mourin, it is even an essential ingredient when it comes to the gastronomic experience. And when it comes to welcoming people, the owners of the Petit Médicis know the best recipe: ""What matters most is hospitality, generosity, friendliness, but also simplicity. We are here to provide our customers with festive moments, moments of pleasure and sharing. ""A leitmotif in the form of a promise, which perfectly suits the authentic atmosphere"
719864,Restaurant de la Tour,4.5,623,https://www.tripadvisor.com/Restaurant_Review-g187147-d719864-Reviews-Restaurant_de_la_Tour-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/ab/58/30/restaurant-de-la-tour.jpg?w={width}&h={height}&s=1,"Dear Guests During the Euro Football Champion ship (June 10' to July10'), to reach the Restaurant de la Tour you need a confirmation of reservation and a valid ID. Therefore, please ask us for a reservation confirmation either by phone or by mail"
